Inventory_ID,Product_ID,Store_ID,Stock_Level,Reorder_Level,Inventory_Cost,Last_Restock_Date
INV000337,P0027,ST008,24,36,80709.6,2025-06-09
INV000338,P0011,ST008,29,30,87856.08,2025-09-19
INV000339,P0034,ST008,40,35,40725.6,2025-12-25
INV000340,P0055,ST008,15,10,64401.75,2025-02-11
INV000341,P0022,ST008,36,40,469823.04,2025-08-08
INV000342,P0015,ST008,15,14,46448.7,2025-07-05
INV000343,P0049,ST008,44,29,191007.96,2025-03-11
INV000344,P0008,ST009,47,31,11054.87,2025-09-15
INV000345,P0004,ST009,15,14,96043.95,2025-03-11
INV000346,P0014,ST009,49,35,42544.74,2025-04-09
INV000347,P0006,ST009,19,15,101488.31,2025-07-30
INV000348,P0016,ST009,32,26,272061.44,2025-12-09
INV000349,P0023,ST009,55,38,1643710.75,2025-06-16
INV000350,P0009,ST009,48,34,522203.04,2025-12-09
INV000351,P0024,ST009,21,12,915627.51,2025-12-03
INV000352,P0048,ST009,33,22,356474.58,2025-06-16
INV000353,P0037,ST009,37,38,237464.15,2025-06-28
INV000354,P0047,ST009,26,17,136317.22,2025-07-13
INV000355,P0036,ST009,13,15,69452.37,2025-11-29
INV000356,P0030,ST009,16,14,101519.68,2025-02-18
INV000357,P0033,ST009,31,30,8072.09,2025-05-01
INV000358,P0018,ST009,50,37,1472544.0,2025-10-26
INV000359,P0020,ST009,23,12,501784.56,2025-03-09
INV000360,P0041,ST009,52,24,319233.2,2025-01-11
INV000361,P0054,ST009,44,22,454270.52,2025-12-01
INV000362,P0052,ST009,14,22,131897.92,2025-07-10
INV000363,P0046,ST009,50,36,330762.0,2025-08-09
INV000364,P0055,ST009,38,28,163151.1,2025-09-13
INV000365,P0056,ST009,10,29,4304.2,2025-08-21
INV000366,P0039,ST009,74,34,662125.36,2025-03-27
INV000367,P0034,ST009,38,29,38689.32,2025-11-29
INV000368,P0021,ST009,27,12,465482.7,2025-04-03
INV000369,P0010,ST009,19,14,65549.24,2025-05-14
INV000370,P0028,ST009,17,12,26701.22,2025-11-22
INV000371,P0019,ST009,30,27,1251258.0,2025-06-19
INV000372,P0038,ST009,57,34,78517.5,2025-03-05
INV000373,P0053,ST009,27,15,89414.55,2025-11-23
INV000374,P0045,ST009,26,20,38368.46,2025-04-24
INV000375,P0001,ST009,13,12,130068.12,2025-03-06
INV000376,P0002,ST009,7,28,8154.93,2025-12-18
INV000377,P0040,ST009,30,37,259611.0,2025-12-24
INV000378,P0029,ST009,100,34,62094.0,2025-06-28
INV000379,P0026,ST009,35,36,256803.4,2025-09-03
INV000380,P0050,ST009,15,24,166804.5,2025-06-13
INV000381,P0017,ST009,58,29,1166260.52,2025-10-27
INV000382,P0049,ST009,61,21,264806.49,2025-09-22
INV000383,P0003,ST009,23,24,38443.12,2025-09-02
INV000384,P0005,ST009,55,37,472914.75,2025-11-06
INV000385,P0007,ST009,19,12,17265.49,2025-07-12
INV000386,P0025,ST009,39,23,558407.07,2025-08-25
INV000387,P0012,ST009,50,26,64931.5,2025-06-22
INV000388,P0032,ST009,24,22,88919.28,2025-04-30
INV000389,P0031,ST009,16,40,61969.28,2025-04-20
INV000390,P0015,ST009,55,38,170311.9,2025-07-25
INV000391,P0022,ST009,11,17,143557.04,2025-02-13
INV000392,P0003,ST010,59,36,98614.96,2025-11-27
INV000393,P0017,ST010,13,13,261403.22,2025-10-05
INV000394,P0052,ST010,13,36,122476.64,2025-04-07
INV000395,P0027,ST010,25,15,84072.5,2025-11-12
INV000396,P0016,ST010,61,38,518617.12,2025-01-20
INV000397,P0001,ST010,42,22,420220.08,2025-04-14
INV000398,P0057,ST010,16,31,185722.24,2025-04-18
INV000399,P0053,ST010,8,11,26493.2,2025-12-30
INV000400,P0040,ST010,14,11,121151.8,2025-03-02
INV000401,P0036,ST010,28,20,149589.72,2025-09-12
INV000402,P0013,ST010,53,29,550482.91,2025-10-10
INV000403,P0029,ST010,5,17,3104.7,2025-05-03
INV000404,P0041,ST010,27,39,165755.7,2025-05-30
INV000405,P0033,ST010,77,37,20050.03,2025-04-16
INV000406,P0037,ST010,40,25,256718.0,2025-08-06
INV000407,P0023,ST010,15,39,448284.75,2025-07-23
INV000408,P0047,ST010,65,40,340793.05,2026-01-15
INV000409,P0035,ST010,32,13,338823.68,2025-11-11
INV000410,P0043,ST010,32,29,131284.48,2025-01-04
INV000411,P0010,ST010,25,22,86249.0,2025-03-27
INV000412,P0055,ST010,17,19,72988.65,2025-10-17
INV000413,P0028,ST010,58,36,91098.28,2025-11-03
INV000414,P0044,ST010,30,21,268007.7,2025-09-25
INV000415,P0022,ST010,30,32,391519.2,2025-01-08
INV000416,P0031,ST010,19,16,73588.52,2025-08-07
INV000417,P0004,ST010,40,29,256117.2,2025-02-19
INV000418,P0054,ST010,67,29,691730.11,2025-08-02
INV000419,P0021,ST010,28,17,482722.8,2025-08-06
INV000420,P0032,ST010,40,25,148198.8,2025-07-17
INV000421,P0042,ST010,48,26,59699.52,2025-04-10
INV000422,P0056,ST010,27,15,11621.34,2025-01-28
INV000423,P0006,ST010,50,38,267074.5,2025-03-26
INV000424,P0014,ST010,53,32,46017.78,2025-06-11
INV000425,P0024,ST010,45,27,1962058.95,2025-09-02
INV000426,P0018,ST011,16,25,471214.08,2025-02-17
INV000427,P0055,ST011,20,25,85869.0,2025-12-27
INV000428,P0057,ST011,59,38,684850.76,2025-07-23
INV000429,P0003,ST011,25,15,41786.0,2025-09-09
INV000430,P0024,ST011,88,36,3836915.28,2025-01-12
INV000431,P0006,ST011,43,34,229684.07,2026-01-12
INV000432,P0042,ST011,93,33,115667.82,2025-11-19
INV000433,P0020,ST011,29,24,632684.88,2025-12-07
INV000434,P0015,ST011,12,23,37158.96,2025-03-13
INV000435,P0038,ST011,62,28,85405.0,2025-08-16
INV000436,P0054,ST011,60,34,619459.8,2025-03-27
INV000437,P0007,ST011,55,31,49979.05,2025-07-29
INV000438,P0023,ST011,16,16,478170.4,2025-08-27
INV000439,P0030,ST011,31,16,196694.38,2025-09-20
INV000440,P0014,ST011,55,36,47754.3,2025-05-02
INV000441,P0053,ST011,51,39,168894.15,2025-10-27
INV000442,P0048,ST011,9,10,97220.34,2025-09-12
INV000443,P0004,ST011,33,17,211296.69,2025-08-06
INV000444,P0019,ST011,73,33,3044727.8,2025-02-25
INV000445,P0044,ST011,5,10,44667.95,2025-03-11
INV000446,P0027,ST011,31,32,104249.9,2025-03-04
INV000447,P0050,ST011,36,32,400330.8,2025-10-03
INV000448,P0056,ST011,50,38,21521.0,2025-05-21
INV000449,P0039,ST011,0,17,0.0,2026-01-13
INV000450,P0029,ST011,17,13,10555.98,2025-06-25
INV000451,P0025,ST011,23,10,329316.99,2025-04-19
INV000452,P0034,ST011,2,20,2036.28,2025-10-23
INV000453,P0028,ST011,29,29,45549.14,2025-07-16
INV000454,P0033,ST011,12,22,3124.68,2025-02-28
INV000455,P0012,ST011,13,17,16882.19,2025-06-03
INV000456,P0051,ST011,9,12,95353.02,2025-04-12
INV000457,P0049,ST011,37,29,160620.33,2025-07-16
INV000458,P0036,ST011,51,35,272466.99,2026-01-04
INV000459,P0001,ST011,35,32,350183.4,2025-12-24
INV000460,P0047,ST011,25,25,131074.25,2025-12-18
INV000461,P0040,ST011,1,14,8653.7,2025-11-12
INV000462,P0010,ST011,31,25,106948.76,2025-11-27
INV000463,P0043,ST011,25,17,102566.0,2025-01-03
INV000464,P0045,ST011,28,35,41319.88,2025-03-07
INV000465,P0052,ST011,43,23,405115.04,2025-05-29
INV000466,P0011,ST011,26,20,78767.52,2026-01-04
INV000467,P0035,ST011,33,21,349411.92,2025-11-22
INV000468,P0022,ST011,41,26,535076.24,2025-01-22
INV000469,P0013,ST011,55,35,571255.85,2025-02-19
INV000470,P0051,ST012,2,12,21189.56,2025-02-28
INV000471,P0012,ST012,10,16,12986.3,2025-04-13
INV000472,P0054,ST012,45,26,464594.85,2025-07-18
INV000473,P0032,ST012,17,17,62984.49,2025-09-11
INV000474,P0033,ST012,18,40,4687.02,2025-01-30
INV000475,P0039,ST012,6,32,53685.84,2025-09-13
INV000476,P0027,ST012,29,29,97524.1,2025-06-13
INV000477,P0015,ST012,24,32,74317.92,2025-10-04
INV000478,P0020,ST012,20,33,436334.4,2025-05-09
